Alienable possession: see	Inalienable possession	zoek.pl?lemma=Inalienable+possession	SEMANTICS
Allomorph: see	Allomorphy	zoek.pl?lemma=Allomorphy	MORPHOLOGY
	Allomorphy	zoek.pl?lemma=Allomorphy&lemmacode=1011	MORPHOLOGY
	Allomorphy rule	zoek.pl?lemma=Allomorphy+rule&lemmacode=1012	MORPHOLOGY
	Allophony	zoek.pl?lemma=Allophony&lemmacode=1013	PHONOLOGY
	Alveolar	zoek.pl?lemma=Alveolar&lemmacode=1014	PHONOLOGY/PHONETICS
	Ambiguity	zoek.pl?lemma=Ambiguity&lemmacode=1015	SEMANTICS
	Ambisyllabic	zoek.pl?lemma=Ambisyllabic&lemmacode=1016	PHONOLOGY
	A-movement	zoek.pl?lemma=A-movement&lemmacode=1017	SYNTAX
	Amplitude	zoek.pl?lemma=Amplitude&lemmacode=1123	PHONETICS
	Analog-to-digital conversion	zoek.pl?lemma=Analog-to-digital+conversion&lemmacode=1542	PHONETICS
	Analogy	zoek.pl?lemma=Analogy&lemmacode=1018	MORPHOLOGY
	Analysis-and-resynthesis	zoek.pl?lemma=Analysis-and-resynthesis&lemmacode=1125	PHONETICS
	Analysis-by-synthesis	zoek.pl?lemma=Analysis-by-synthesis&lemmacode=1124	PHONETICS
	Analytic truth	zoek.pl?lemma=Analytic+truth&lemmacode=1019	SEMANTICS
	Anaphor	zoek.pl?lemma=Anaphor&lemmacode=1020	GENERAL
	Anaphor	zoek.pl?lemma=Anaphor&lemmacode=1020	SYNTAX
	Anaphoric epithet	zoek.pl?lemma=Anaphoric+epithet&lemmacode=1021	SYNTAX
	Anaphoric pronoun	zoek.pl?lemma=Anaphoric+pronoun&lemmacode=1022	SEMANTICS
	Angled brackets	zoek.pl?lemma=Angled+brackets&lemmacode=1023	PHONOLOGY
	Anomaly	zoek.pl?lemma=Anomaly&lemmacode=1024	SEMANTICS
	Antecedent	zoek.pl?lemma=Antecedent&lemmacode=1025	GENERAL
	Antecedent	zoek.pl?lemma=Antecedent&lemmacode=1025	SEMANTICS
	Antecedent government	zoek.pl?lemma=Antecedent+government&lemmacode=1026	SYNTAX
	Anterior	zoek.pl?lemma=Anterior&lemmacode=1027	PHONOLOGY/PHONETICS
	Anticipatory shortening	zoek.pl?lemma=Anticipatory+shortening&lemmacode=1126	PHONETICS
	Antiformant	zoek.pl?lemma=Antiformant&lemmacode=1142	PHONETICS
Antipersistence: see	Downward monotonicity	zoek.pl?lemma=Downward+monotonicity	SEMANTICS
	Antonymy	zoek.pl?lemma=Antonymy&lemmacode=1029	SEMANTICS
	A-over-A	zoek.pl?lemma=A-over-A&lemmacode=1030	SYNTAX
	Apical	zoek.pl?lemma=Apical&lemmacode=1031	PHONOLOGY/PHONETICS
	A-position	zoek.pl?lemma=A-position&lemmacode=1032	SYNTAX
	Appositional compound	zoek.pl?lemma=Appositional+compound&lemmacode=1033	MORPHOLOGY
	Approximant	zoek.pl?lemma=Approximant&lemmacode=1129	PHONOLOGY/PHONETICS
	Arbitrary PRO	zoek.pl?lemma=Arbitrary+PRO&lemmacode=1034	SYNTAX
	Argument	zoek.pl?lemma=Argument&lemmacode=1035	SYNTAX
	Argument	zoek.pl?lemma=Argument&lemmacode=1035	SEMANTICS
Argument position: see	A-position	zoek.pl?lemma=A-position	SYNTAX
	Argument structure	zoek.pl?lemma=Argument+structure&lemmacode=1038	MORPHOLOGY/SYNTAX
	Argument-linking Principle	zoek.pl?lemma=Argument-linking+Principle&lemmacode=1036	MORPHOLOGY
	Arity	zoek.pl?lemma=Arity&lemmacode=1039	SEMANTICS
Article: see	Determiner	zoek.pl?lemma=Determiner	SYNTAX
Article: see	Determiner	zoek.pl?lemma=Determiner	SEMANTICS
	Articulation	zoek.pl?lemma=Articulation&lemmacode=1130	PHONETICS
Articulation rate: see	Speech rate	zoek.pl?lemma=Speech+rate	PHONETICS
	Articulators	zoek.pl?lemma=Articulators&lemmacode=1498	PHONETICS
	Articulatory gesture	zoek.pl?lemma=Articulatory+gesture&lemmacode=1202	PHONOLOGY/PHONETICS
	Articulatory speech synthesis	zoek.pl?lemma=Articulatory+speech+synthesis&lemmacode=1345	PHONETICS
	Articulography	zoek.pl?lemma=Articulography&lemmacode=1132	PHONETICS
	Arytenoid	zoek.pl?lemma=Arytenoid&lemmacode=1133	PHONETICS
	Aspect	zoek.pl?lemma=Aspect&lemmacode=1041	SEMANTICS
	Aspectual classes	zoek.pl?lemma=Aspectual+classes&lemmacode=1042	SEMANTICS
	Aspiration	zoek.pl?lemma=Aspiration&lemmacode=1043	PHONOLOGY
Assertion: see	Declarative sentence	zoek.pl?lemma=Declarative+sentence	SEMANTICS
	Assignment	zoek.pl?lemma=Assignment&lemmacode=1045	SEMANTICS
	Assimilation	zoek.pl?lemma=Assimilation&lemmacode=1046	PHONOLOGY/PHONETICS
Atelic aspect: see	Aspectual classes	zoek.pl?lemma=Aspectual+classes	SEMANTICS
	Atom Condition	zoek.pl?lemma=Atom+Condition&lemmacode=1048	MORPHOLOGY
	Atomic formula	zoek.pl?lemma=Atomic+formula&lemmacode=1049	SEMANTICS
Atomicity of words: see	Lexicalist hypothesis	zoek.pl?lemma=Lexicalist+hypothesis	MORPHOLOGY/SYNTAX
	Attract	zoek.pl?lemma=Attract&lemmacode=1519	SYNTAX
	Attractor	zoek.pl?lemma=Attractor&lemmacode=1580	SYNTAX
attributive noun phrase: see	attributive use	zoek.pl?lemma=attributive+use	SEMANTICS
	Attributive use	zoek.pl?lemma=Attributive+use&lemmacode=1051	SEMANTICS
	Audiogram	zoek.pl?lemma=Audiogram&lemmacode=1365	PHONETICS
Auditory feedback: see	Feedback	zoek.pl?lemma=Feedback	PHONETICS
	Automatic speaker identification	zoek.pl?lemma=Automatic+speaker+identification&lemmacode=1358	PHONETICS
	Automatic speaker verification	zoek.pl?lemma=Automatic+speaker+verification&lemmacode=1359	PHONETICS
	Automatic Speech Recognition	zoek.pl?lemma=Automatic+Speech+Recognition&lemmacode=1134	PHONETICS
	Autosegmental analysis of intonation	zoek.pl?lemma=Autosegmental+analysis+of+intonation&lemmacode=1537	PHONOLOGY/PHONETICS
	AUX	zoek.pl?lemma=AUX&lemmacode=1052	SYNTAX
	Auxiliary verb	zoek.pl?lemma=Auxiliary+verb&lemmacode=1053	SYNTAX
	Avoid Pronoun Principle	zoek.pl?lemma=Avoid+Pronoun+Principle&lemmacode=1054	SYNTAX
	AX discrimination	zoek.pl?lemma=AX+discrimination&lemmacode=1135	PHONETICS
	Bach-Peters paradox	zoek.pl?lemma=Bach-Peters+paradox&lemmacode=812	SYNTAX
	Back	zoek.pl?lemma=Back&lemmacode=813	PHONOLOGY/PHONETICS
	Back-formation	zoek.pl?lemma=Back-formation&lemmacode=814	MORPHOLOGY
Backward anaphora: see	Cataphoric relation	zoek.pl?lemma=Cataphoric+relation	SEMANTICS
	Bahuvrihi compound	zoek.pl?lemma=Bahuvrihi+compound&lemmacode=816	MORPHOLOGY
	Ballastic movement	zoek.pl?lemma=Ballastic+movement&lemmacode=1136	PHONETICS
	Bandwidth	zoek.pl?lemma=Bandwidth&lemmacode=1137	PHONETICS
	Bare plural	zoek.pl?lemma=Bare+plural&lemmacode=817	SEMANTICS
	Bark scale	zoek.pl?lemma=Bark+scale&lemmacode=1360	PHONETICS
	Barrier	zoek.pl?lemma=Barrier&lemmacode=818	SYNTAX
	Base	zoek.pl?lemma=Base&lemmacode=819	MORPHOLOGY
	Base component	zoek.pl?lemma=Base+component&lemmacode=820	SYNTAX
	Base-generated	zoek.pl?lemma=Base-generated&lemmacode=821	SYNTAX
	Basilar membrane	zoek.pl?lemma=Basilar+membrane&lemmacode=1139	PHONETICS
Belief sentence: see	Propositional attitude	zoek.pl?lemma=Propositional+attitude	SEMANTICS
	Bernouilli principle	zoek.pl?lemma=Bernouilli+principle&lemmacode=1140	PHONETICS
Biconditional: see	Equivalence	zoek.pl?lemma=Equivalence	SEMANTICS
	Bijection Principle	zoek.pl?lemma=Bijection+Principle&lemmacode=824	SYNTAX
	Bilabial	zoek.pl?lemma=Bilabial&lemmacode=825	PHONOLOGY/PHONETICS
	Binary Branching Constraint	zoek.pl?lemma=Binary+Branching+Constraint&lemmacode=826	MORPHOLOGY
	Binary Branching Constraint	zoek.pl?lemma=Binary+Branching+Constraint&lemmacode=826	SYNTAX
Binary connective: see	Connective	zoek.pl?lemma=Connective	SEMANTICS
	Bind	zoek.pl?lemma=Bind&lemmacode=828	SYNTAX
	Binding	zoek.pl?lemma=Binding&lemmacode=829	SYNTAX
	Binding	zoek.pl?lemma=Binding&lemmacode=829	SEMANTICS
	Binding Condition	zoek.pl?lemma=Binding+Condition&lemmacode=830	SYNTAX
	Binding Domain	zoek.pl?lemma=Binding+Domain&lemmacode=831	SYNTAX
	Binding theory	zoek.pl?lemma=Binding+theory&lemmacode=832	SYNTAX
	Biteblock	zoek.pl?lemma=Biteblock&lemmacode=1141	PHONETICS
	Biuniqueness	zoek.pl?lemma=Biuniqueness&lemmacode=833	MORPHOLOGY
	Bleeding order	zoek.pl?lemma=Bleeding+order&lemmacode=834	PHONOLOGY
	Blending	zoek.pl?lemma=Blending&lemmacode=835	MORPHOLOGY
	Blocking	zoek.pl?lemma=Blocking&lemmacode=836	MORPHOLOGY
	Blocking Category	zoek.pl?lemma=Blocking+Category&lemmacode=837	SYNTAX
	Bottom-up	zoek.pl?lemma=Bottom-up&lemmacode=1368	PHONETICS
Bound: see	Bind	zoek.pl?lemma=Bind	SYNTAX
	Bound morpheme	zoek.pl?lemma=Bound+morpheme&lemmacode=839	MORPHOLOGY
Bound variable: see	Variable	zoek.pl?lemma=Variable	SYNTAX
Bound variable: see	Variable	zoek.pl?lemma=Variable	SEMANTICS
Bound variable: see	binding	zoek.pl?lemma=binding	SYNTAX
Bound variable: see	binding	zoek.pl?lemma=binding	SEMANTICS
	Boundary	zoek.pl?lemma=Boundary&lemmacode=841	MORPHOLOGY
	Bounded/unbounded	zoek.pl?lemma=Bounded/unbounded&lemmacode=842	PHONOLOGY
	Bounding node	zoek.pl?lemma=Bounding+node&lemmacode=843	SYNTAX
	Bounding theory	zoek.pl?lemma=Bounding+theory&lemmacode=844	SYNTAX
	Braces	zoek.pl?lemma=Braces&lemmacode=845	PHONOLOGY
	Bracket Erasure Convention	zoek.pl?lemma=Bracket+Erasure+Convention&lemmacode=846	PHONOLOGY/MORPHOLOGY
	Bracketed grids	zoek.pl?lemma=Bracketed+grids&lemmacode=847	PHONOLOGY
	Bracketing paradox	zoek.pl?lemma=Bracketing+paradox&lemmacode=848	MORPHOLOGY
Branch: see	Tree structure	zoek.pl?lemma=Tree+structure	SYNTAX
	Breathy voice	zoek.pl?lemma=Breathy+voice&lemmacode=1143	PHONETICS
	Bridge verb	zoek.pl?lemma=Bridge+verb&lemmacode=850	SYNTAX
Broad focus: see	Focus	zoek.pl?lemma=Focus	SYNTAX
Broad focus: see	Focus	zoek.pl?lemma=Focus	PHONETICS
	Buccal cavity	zoek.pl?lemma=Buccal+cavity&lemmacode=1144	PHONETICS
	By-phrase	zoek.pl?lemma=By-phrase&lemmacode=851	SYNTAX
C: see	COMP	zoek.pl?lemma=COMP	SYNTAX
Canonical structural realization: see	S-selection	zoek.pl?lemma=S-selection	SYNTAX
	Cardinal vowels	zoek.pl?lemma=Cardinal+vowels&lemmacode=1145	PHONETICS
	Case	zoek.pl?lemma=Case&lemmacode=854	SYNTAX
	Case assignment	zoek.pl?lemma=Case+assignment&lemmacode=855	SYNTAX
	Case Filter	zoek.pl?lemma=Case+Filter&lemmacode=856	SYNTAX
case-marked: see	Case assignment	zoek.pl?lemma=Case+assignment	SYNTAX
Case-marking: see	Case assignment	zoek.pl?lemma=Case+assignment	SYNTAX
	Cataphoric relation	zoek.pl?lemma=Cataphoric+relation&lemmacode=858	SEMANTICS
	Categorical perception	zoek.pl?lemma=Categorical+perception&lemmacode=1146	PHONETICS
	Causative verb	zoek.pl?lemma=Causative+verb&lemmacode=859	GENERAL
	C-command	zoek.pl?lemma=C-command&lemmacode=860	SYNTAX
C-command domain: see	C-command	zoek.pl?lemma=C-command	SYNTAX
C-dominate: see	Dominance	zoek.pl?lemma=Dominance	SYNTAX
Centre frequency: see	Formant	zoek.pl?lemma=Formant	PHONETICS
	Chain	zoek.pl?lemma=Chain&lemmacode=863	SYNTAX
	CHAIN	zoek.pl?lemma=CHAIN&lemmacode=864	SYNTAX
	Chain Composition	zoek.pl?lemma=Chain+Composition&lemmacode=865	SYNTAX
	Chain Condition	zoek.pl?lemma=Chain+Condition&lemmacode=866	SYNTAX
	Checking configuration	zoek.pl?lemma=Checking+configuration&lemmacode=1551	SYNTAX
	Checking domain	zoek.pl?lemma=Checking+domain&lemmacode=867	SYNTAX
